Restaurant Name,City,Place Name,Cuisine ,Dining Rating,Delivery Rating,Overall Rating,Dining Votes,Delivery Votes,Average Price,Menu Items,Features
Exotica,Hyderabad,12th Square Building,Beverages,4.6,4.3,4.449999999999999,0,0,558.1818181818181,165,exotica beverages hyderabad 12th square building
Express By ABs,Hyderabad,Malakpet,Biryani,3.8,3.8,3.8,0,112,281.4071264367816,87,express by abs biryani hyderabad malakpet
FFC,Kochi,Palarivattom,Burger,3.7,3.7,3.7,2,951,298.7878787878788,66,ffc burger kochi palarivattom
FPF  Coffee Wale Bhaiya,Jaipur,Pink City,Beverages,3.1,4.1,3.5999999999999996,9,914,148.43661971830986,71,fpf  coffee wale bhaiya beverages jaipur pink city
FPF Coffee Wale Bhaiya,Jaipur,Vidhyadhar Nagar,Beverages,3.8,4.1,3.9499999999999997,12,388,154.5857142857143,70,fpf coffee wale bhaiya beverages jaipur vidhyadhar nagar
Faasos - Wraps & Rolls,Hyderabad,Abids,"North Indian, Rolls",4.0,4.0,4.0,0,0,314.44217261904765,336,"faasos - wraps & rolls north indian, rolls hyderabad abids"
Falooda Nation,Kochi,Kaloor,Beverages,3.6,3.9,3.75,12,0,197.4025974025974,77,falooda nation beverages kochi kaloor
Fancy Ice Cream,Hyderabad,Charminar,Ice Cream,3.0,4.1,3.55,17,0,125.34883720930233,86,fancy ice cream ice cream hyderabad charminar
Ferrara Pizzeria,Chennai,Nungambakkam,Fast Food,3.9,4.1,4.0,27,319,320.5652173913044,23,ferrara pizzeria fast food chennai nungambakkam
Firangi Bake,Mumbai,Wadala,Mexican,4.1,4.1,4.1,0,737,342.64,75,firangi bake mexican mumbai wadala
Firebirds,Kochi,Palarivattom,Beverages,4.3,4.3,4.3,1,80,190.75862068965517,29,firebirds beverages kochi palarivattom
Firewood Pizza,Jaipur,Gopalpura,Italian,3.3,3.3,3.3,0,320,171.85849056603774,106,firewood pizza italian jaipur gopalpura
Five Star Chicken,Chennai,Triplicane,Rolls,3.4,3.4,3.4,0,0,248.52941176470588,17,five star chicken rolls chennai triplicane
Flavorsome Feasts,Jaipur,Vaishali Nagar,Beverages,3.7,3.7,3.7,0,0,273.6372549019608,102,flavorsome feasts beverages jaipur vaishali nagar
Flavours Of China,Mumbai,Dadar West,Seafood,4.2,4.0,4.1,395,0,334.76666666666665,300,flavours of china seafood mumbai dadar west
Food Adda,Mumbai,Lower Parel,Beverages,3.9,3.8,3.8499999999999996,30,36,213.03669724770643,109,food adda beverages mumbai lower parel
Food Darzee,Mumbai,Lower Parel,Biryani,3.7,3.7,3.7,0,309,353.8125,64,food darzee biryani mumbai lower parel
Food Track,Hyderabad,Charminar,Beverages,4.3,4.1,4.199999999999999,16,0,124.62025316455696,79,food track beverages hyderabad charminar
Francescos Pizzeria,Mumbai,Dadar West,Fast Food,3.9,3.9,3.9,0,329,495.9230769230769,52,francescos pizzeria fast food mumbai dadar west
FreshMenu,Bangalore,Richmond Road,Chinese,3.9,3.9,3.9,0,0,257.79228486646883,337,freshmenu chinese bangalore richmond road
Fried Chicken Destination,Pune,Kothrud,Fast Food,3.8,4.1,3.9499999999999997,31,0,361.0975609756098,41,fried chicken destination fast food pune kothrud
Friedisthan,Jaipur,Raja Park,Beverages,4.1,4.1,4.1,0,0,283.6913286713287,143,friedisthan beverages jaipur raja park
Fuel Up,Mumbai,Khar,Beverages,4.0,4.2,4.1,102,0,240.28571428571428,119,fuel up beverages mumbai khar
Game Of Spices,Jaipur,Mansarovar,Sichuan,4.3,3.7,4.0,88,0,326.06481481481484,216,game of spices sichuan jaipur mansarovar
Ganesh Bhojnalaya,Jaipur,Lal Kothi,North Indian,3.5,4.1,3.8,460,0,109.8125,64,ganesh bhojnalaya north indian jaipur lal kothi
Garden Vada Pav Centre,Pune,Camp Area,Beverages,3.6,4.3,3.95,18,0,160.8181818181818,11,garden vada pav centre beverages pune camp area
Gelatica Gelato - Ice Cream,Hyderabad,Narayanguda,Desserts,3.9,3.9,3.9,0,203,99.0,18,gelatica gelato - ice cream desserts hyderabad narayanguda
George Restaurant,Pune,Camp Area,Beverages,3.9,4.0,3.95,0,0,300.8857142857143,175,george restaurant beverages pune camp area
Ghungroo Seth Vada Pav Company,Jaipur,Crystal Palm Mall,Fast Food,4.2,4.2,4.2,0,0,83.23076923076923,13,ghungroo seth vada pav company fast food jaipur crystal palm mall
Go Biryan,Mumbai,Lower Parel,Rolls,3.9,3.9,3.9,0,0,412.34876190476194,105,go biryan rolls mumbai lower parel
Go Grill,Chennai,Arumbakkam,BBQ,3.0,4.2,3.6,0,205,200.2233009708738,103,go grill bbq chennai arumbakkam
Goa'rmet By The Tiffin Factory,Goa,Panaji,Desserts,3.911782786885246,3.911782786885246,3.911782786885246,0,14,218.8188976377953,127,goa'rmet by the tiffin factory desserts goa panaji
Gokul Oottupura,Kochi,Pallimukku,Shake,4.0,4.0,4.0,73,0,170.1769230769231,130,gokul oottupura shake kochi pallimukku
Gokul Refreshment,Mumbai,Hill Road,Beverages,4.2,4.1,4.15,337,0,185.73529411764707,170,gokul refreshment beverages mumbai hill road
Golden Dragon,Kochi,Ravipuram,Desserts,4.0,4.2,4.1,248,0,258.52232142857144,224,golden dragon desserts kochi ravipuram
